,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id
0,6.1,224,245,0,94,33,0,160,94,1.2995,60381.266565351,147.304,51.48723,-54.13817,0
1,6.1,250,6,0,194,155,0,160,194,2.6819,60381.266581351,691.881,51.27472,-55.1633,1
2,6.0,130,168,1,187,136,1,159,443,6.124,60381.266621191,607.07,52.17346,-54.47266,2
3,6.1,41,185,1,82,153,6,161,1618,22.3672,60381.266809191,682.954,52.83177,-54.39721,3
4,6.2,188,129,1,188,23,9,163,2492,34.4494,60381.266949031,102.666,51.74305,-54.63928,4
5,6.1,151,194,3,77,102,9,160,2381,32.9149,60381.266931271,455.303,52.01912,-54.36058,5
6,6.0,243,142,0,8,81,11,158,2824,39.039,60381.267002151,361.564,51.33733,-54.58052,6
7,6.0,226,45,0,176,95,11,159,2992,41.3614,60381.267029031,424.056,51.45631,-54.9979,7
8,6.0,33,55,1,109,159,13,158,3437,47.5131,60381.267100231,709.736,52.90105,-54.95518,8
9,6.0,96,173,3,28,29,15,158,3868,53.4712,60381.267169191,129.449,52.42496,-54.45084,9
10,6.0,16,163,1,188,131,15,158,4028,55.6831,60381.267194791,584.751,53.01862,-54.49038,10
11,6.1,248,246,1,93,160,18,161,4701,64.9866,60381.267302471,714.2,51.31207,-54.13232,11
12,6.2,249,246,1,93,160,18,162,4701,64.9866,60381.267302471,714.2,51.30477,-54.13224,11
13,6.2,104,95,2,134,161,18,163,4742,65.5534,60381.267309031,718.664,52.3671,-54.7862,12
14,6.0,22,6,3,20,87,20,159,5140,71.0554,60381.267372711,388.346,52.9893,-55.16433,13
15,6.0,231,97,6,21,95,20,159,5141,71.0692,60381.267372871,424.056,51.42239,-54.7746,14
16,6.2,196,209,2,150,2,26,162,6806,94.0861,60381.267639271,8.928,51.68898,-54.29474,15
17,6.0,33,61,1,57,75,27,158,6969,96.3395,60381.267665351,334.781,52.90046,-54.92947,16
18,6.8,32,140,0,238,43,28,180,7406,102.3805,60381.267735271,191.941,52.90133,-54.5903,17
19,6.0,33,140,0,238,43,28,158,7406,102.3805,60381.267735271,191.941,52.89388,-54.59035,17
20,6.0,51,64,3,34,129,30,159,7714,106.6383,60381.267784551,575.824,52.76516,-54.91755,18
21,6.0,255,247,0,181,61,33,158,8629,119.2873,60381.267930951,272.289,51.26109,-54.12749,19
22,6.1,28,116,0,87,148,36,160,9303,128.6047,60381.268038791,660.635,52.93298,-54.69318,20
23,6.1,81,167,0,97,100,37,160,9569,132.2819,60381.268081351,446.375,52.53613,-54.4763,21
24,6.3,182,34,1,197,156,37,167,9669,133.6643,60381.268097351,696.345,51.78472,-55.04703,22
25,6.4,112,111,2,190,30,39,169,10174,140.6454,60381.268178151,133.913,52.30712,-54.71761,23
26,6.1,112,111,2,190,31,39,161,10174,140.6454,60381.268178151,138.376,52.30712,-54.71761,23
27,6.0,18,158,3,181,35,39,158,10165,140.521,60381.268176711,156.231,53.00411,-54.51202,24
28,6.1,226,97,6,6,40,44,161,11270,155.7965,60381.268353511,178.55,51.45946,-54.7749,25
29,6.0,226,97,7,8,43,44,158,11272,155.8241,60381.268353831,191.941,51.45946,-54.7749,25
30,6.0,230,161,1,215,134,44,158,11479,158.6857,60381.268386951,598.143,51.43491,-54.49966,26
31,6.0,124,223,0,12,28,46,158,11788,162.9573,60381.268436391,124.985,52.21872,-54.23577,27
32,6.1,181,215,3,232,33,48,160,12520,173.0765,60381.268553511,147.304,51.79952,-54.26942,28
33,6.0,188,106,0,91,32,49,158,12635,174.6662,60381.268571911,142.84,51.74203,-54.73807,29
34,6.1,219,42,2,98,125,49,160,12642,174.763,60381.268573031,557.969,51.50836,-55.01114,30
35,6.2,168,150,0,53,90,50,163,12853,177.6799,60381.268606791,401.738,51.89197,-54.54961,31
36,6.0,32,203,5,248,130,51,158,13304,183.9145,60381.268678951,580.288,52.89739,-54.31918,32
37,6.2,32,203,3,248,132,51,163,13304,183.9145,60381.268678951,589.215,52.89739,-54.31918,32
38,6.2,247,23,0,70,155,53,163,13638,188.5317,60381.268732391,691.881,51.29813,-55.09074,33
39,6.0,178,99,2,244,89,54,158,14068,194.476,60381.268801191,397.274,51.81607,-54.76845,34
40,6.0,89,125,0,131,53,55,158,14211,196.4529,60381.268824071,236.579,52.47793,-54.65709,35
41,6.1,141,82,3,111,78,55,161,14191,196.1764,60381.268820871,348.173,52.09134,-54.84211,36
42,6.0,141,82,4,112,78,55,159,14192,196.1902,60381.268821031,348.173,52.09134,-54.84211,36
43,6.1,141,82,5,113,80,55,160,14193,196.204,60381.268821191,357.1,52.09134,-54.84211,36
44,6.4,22,162,1,163,109,55,168,14243,196.8952,60381.268829191,486.549,52.97408,-54.49508,37
45,6.1,22,162,2,164,110,55,160,14244,196.9091,60381.268829351,491.013,52.97408,-54.49508,37
46,6.0,155,85,3,136,133,55,158,14216,196.522,60381.268824871,593.679,51.98697,-54.82906,38
47,6.1,27,92,0,233,89,56,161,14569,201.4019,60381.268881351,397.274,52.94252,-54.79615,39
48,6.2,247,231,1,205,84,58,163,15053,208.0927,60381.268958791,374.955,51.31743,-54.19707,40
49,6.2,182,8,1,225,32,59,163,15329,211.9081,60381.269002951,142.84,51.78437,-55.15834,41
50,6.4,222,162,0,206,87,59,168,15310,211.6454,60381.268999911,388.346,51.49395,-54.49583,42
51,6.2,213,54,3,192,119,60,163,15552,214.9908,60381.269038631,531.186,51.55369,-54.96004,43
52,6.1,21,143,0,113,2,61,161,15729,217.4377,60381.269066951,8.928,52.98295,-54.57672,44
53,6.0,64,203,6,20,43,61,158,15636,216.1521,60381.269052071,191.941,52.66091,-54.32073,45
54,6.1,253,207,0,243,154,62,160,16115,222.7738,60381.269128711,687.418,51.27065,-54.30007,46
55,6.0,58,207,1,233,61,64,158,16617,229.7134,60381.269209031,272.289,52.7051,-54.30325,47
56,6.2,85,192,1,20,90,64,163,16404,226.7689,60381.269174951,401.738,52.50602,-54.36879,48
57,6.0,38,96,0,176,127,67,158,17328,239.5423,60381.269322791,566.896,52.85989,-54.77962,49
58,6.1,80,20,1,155,141,67,161,17307,239.252,60381.269319431,629.389,52.55059,-55.10714,50
59,6.0,63,129,7,174,154,68,158,17582,243.0536,60381.269363431,687.418,52.67123,-54.63908,51
60,6.2,43,108,1,103,48,69,164,17767,245.611,60381.269393031,214.26,52.82162,-54.72837,52
61,6.0,3,63,0,0,131,69,158,17664,244.1871,60381.269376551,584.751,53.12547,-54.91887,53
62,6.1,152,247,0,18,69,71,161,18194,251.5139,60381.269461351,307.999,52.01409,-54.13209,54
63,6.0,134,43,2,165,154,71,158,18341,253.546,60381.269484871,687.418,52.1441,-55.00934,55
64,6.4,143,226,0,95,20,72,169,18527,256.1172,60381.269514631,89.275,52.07916,-54.22277,56
65,6.1,143,225,3,149,120,72,161,18581,256.8637,60381.269523271,535.65,52.07912,-54.22708,57
66,6.2,186,15,0,8,131,75,162,19208,265.5314,60381.269623591,584.751,51.75443,-55.12824,58
67,6.1,200,177,5,46,74,76,161,19502,269.5956,60381.269670631,330.318,51.6572,-54.43237,59
68,6.2,144,38,0,187,74,76,164,19643,271.5448,60381.269693191,330.318,52.06926,-55.0307,60
69,6.0,218,212,3,117,156,78,159,20085,277.655,60381.269763911,696.345,51.52774,-54.28077,61
70,6.1,183,102,6,85,9,79,161,20309,280.7516,60381.269799751,40.174,51.779,-54.75541,62
71,6.1,134,162,6,21,16,79,160,20245,279.8669,60381.269789511,71.42,52.14379,-54.49847,63
72,6.0,245,45,0,84,24,80,159,20564,284.2767,60381.269840551,107.13,51.3145,-54.99665,64
73,6.2,215,78,5,85,125,80,162,20565,284.2906,60381.269840711,557.969,51.54,-54.85703,65
74,6.1,38,13,5,187,9,82,160,21179,292.7785,60381.269938951,40.174,52.86759,-55.13532,66
75,6.0,38,13,6,189,12,82,158,21181,292.8062,60381.269939271,53.565,52.86759,-55.13532,66
76,6.1,248,131,4,206,130,82,160,21198,293.0411,60381.269941991,580.288,51.2993,-54.62743,67
77,6.2,248,131,6,207,132,82,162,21199,293.055,60381.269942151,589.215,51.2993,-54.62743,67
78,6.2,192,86,0,65,147,83,162,21313,294.6309,60381.269960391,656.172,51.71148,-54.82376,68
79,6.1,96,10,3,197,157,83,160,21445,296.4557,60381.269981511,700.809,52.43078,-55.15033,69
80,6.0,96,10,4,200,161,83,158,21448,296.4972,60381.269981991,718.664,52.43078,-55.15033,70
81,6.1,232,121,3,50,139,87,161,22322,308.5793,60381.270121831,620.461,51.41674,-54.67147,71
82,6.3,161,165,1,138,6,89,165,22922,316.8737,60381.270217831,26.783,51.94426,-54.48524,72
83,6.2,124,204,3,20,55,89,162,22804,315.2425,60381.270198951,245.506,52.2183,-54.31765,73
84,6.0,10,204,3,16,145,90,158,23056,318.7261,60381.270239271,647.244,53.06001,-54.31345,74
85,6.0,192,200,3,79,39,91,159,23375,323.136,60381.270290311,174.086,51.71767,-54.33366,75
86,6.0,193,200,3,79,39,91,158,23375,323.136,60381.270290311,174.086,51.71032,-54.33363,75
87,6.6,103,70,0,202,90,91,173,23498,324.8364,60381.270309991,401.738,52.37537,-54.89343,76
88,6.0,158,139,5,117,30,92,159,23669,327.2003,60381.270337351,133.913,51.96564,-54.59711,77
89,6.1,143,159,0,116,76,92,161,23668,327.1864,60381.270337191,339.245,52.07716,-54.51131,78
90,6.2,109,115,2,225,86,92,163,23777,328.6932,60381.270354631,383.883,52.32937,-54.70039,79
91,6.1,59,204,3,162,152,92,160,23714,327.8223,60381.270344551,678.49,52.69778,-54.31622,80
92,6.2,187,157,1,201,1,95,164,24521,338.9783,60381.270473671,4.464,51.75184,-54.51894,81
93,6.2,13,15,1,19,40,95,163,24339,336.4623,60381.270444551,178.55,53.05595,-55.12519,82
94,6.0,250,178,0,104,153,95,158,24424,337.6374,60381.270458151,682.954,51.28932,-54.42516,83
95,6.1,68,119,3,155,55,96,160,24731,341.8813,60381.270507271,245.506,52.63449,-54.68223,84
96,6.0,26,27,0,75,38,97,158,24907,344.3144,60381.270535431,169.623,52.95651,-55.07469,85
97,6.6,181,229,0,121,79,98,173,25209,348.4892,60381.270583751,352.636,51.80042,-54.20906,86
98,6.7,182,229,0,121,79,98,176,25209,348.4892,60381.270583751,352.636,51.79309,-54.20903,86
99,6.1,223,14,2,231,96,98,160,25319,350.0099,60381.270601351,428.52,51.4771,-55.13081,87
100,6.0,185,101,1,151,18,100,158,25751,355.9818,60381.270670471,80.348,51.7641,-54.75964,88
101,6.2,16,20,3,89,77,100,162,25689,355.1247,60381.270660551,343.709,53.03271,-55.104,89
102,6.0,92,107,0,26,7,101,158,25882,357.7928,60381.270691431,31.246,52.45618,-54.73446,90
103,6.2,253,45,0,43,78,101,164,25899,358.0278,60381.270694151,348.173,51.25481,-54.99606,91
104,6.1,208,132,0,47,132,102,160,26159,361.622,60381.270735751,589.215,51.59512,-54.62554,92
105,6.1,188,18,1,118,5,104,160,26742,369.6814,60381.270829031,22.319,51.73945,-55.11533,93
106,6.0,127,206,5,152,12,104,159,26776,370.1514,60381.270834471,53.565,52.19623,-54.30904,94
107,6.0,127,206,5,152,13,104,158,26776,370.1514,60381.270834471,58.029,52.19623,-54.30904,94
108,6.1,47,51,1,27,69,104,160,26651,368.4234,60381.270814471,307.999,52.79619,-54.97306,95
109,6.1,161,176,3,5,3,105,160,26885,371.6582,60381.270851911,13.391,51.94468,-54.4379,96
110,6.1,162,176,3,5,3,105,161,26885,371.6582,60381.270851911,13.391,51.9373,-54.43789,96
111,6.3,26,107,0,142,153,105,165,27022,373.5521,60381.270873831,682.954,52.94862,-54.73169,97
112,6.0,181,11,3,50,65,106,158,27186,375.8193,60381.270900071,290.144,51.79184,-55.14552,98
113,6.0,50,174,0,120,111,106,158,27256,376.787,60381.270911271,495.476,52.76555,-54.445,99
114,6.0,219,118,3,186,131,108,158,27834,384.7772,60381.271003751,584.751,51.51275,-54.68512,100
115,6.0,197,34,1,82,77,109,159,27986,386.8785,60381.271028071,343.709,51.67241,-55.04646,101
116,6.0,102,152,1,172,145,109,158,28076,388.1226,60381.271042471,647.244,52.38077,-54.54128,102
117,6.0,10,255,3,138,22,112,158,28810,398.2694,60381.271159911,98.203,53.05679,-54.09351,103
118,6.0,10,255,3,140,25,112,159,28812,398.2971,60381.271160231,111.594,53.05679,-54.09351,103
119,6.0,146,191,1,218,84,112,158,28890,399.3754,60381.271172711,374.955,52.05583,-54.37355,104
120,6.0,171,83,0,206,30,113,158,29134,402.7484,60381.271211751,133.913,51.86772,-54.8373,105
121,6.1,98,25,1,100,126,115,160,29540,408.361,60381.271276711,562.433,52.41486,-55.08616,106
122,6.0,136,25,0,172,42,116,158,29868,412.8952,60381.271329191,187.478,52.12945,-55.08642,107
123,6.0,249,49,0,196,60,116,158,29892,413.227,60381.271333031,267.825,51.28491,-54.97922,108
124,6.2,162,234,1,120,134,116,163,29816,412.1764,60381.271320871,598.143,51.94005,-54.18799,109
125,6.0,53,101,0,159,142,118,158,30367,419.7934,60381.271409031,633.853,52.74741,-54.75891,110
126,6.1,70,208,0,87,92,120,161,30807,425.876,60381.271479431,410.665,52.61644,-54.2994,111
127,6.0,108,157,5,206,94,120,159,30926,427.521,60381.271498471,419.593,52.33624,-54.51986,112
128,6.0,170,18,5,39,148,120,158,30759,425.2124,60381.271471751,660.635,51.8744,-55.11588,113
129,6.0,202,154,0,72,68,121,158,31048,429.2076,60381.271517991,303.535,51.64088,-54.53124,114
130,6.2,175,64,5,248,160,121,162,31224,431.6406,60381.271546151,714.2,51.83751,-54.91868,115
131,6.4,133,119,1,238,85,122,168,31470,435.0413,60381.271585511,379.419,52.15086,-54.68332,116
132,6.2,61,254,3,40,59,123,162,31528,435.8431,60381.271594791,263.361,52.6818,-54.10067,117
133,6.0,132,154,0,245,68,123,159,31733,438.677,60381.271627591,303.535,52.15849,-54.53288,118
134,6.1,60,98,0,56,133,124,160,31800,439.6032,60381.271638311,593.679,52.69533,-54.77209,119
135,6.1,8,120,5,70,79,125,160,32070,443.3357,60381.271681511,352.636,53.08181,-54.67465,120
136,6.0,241,78,1,103,13,126,159,32359,447.3308,60381.271727751,58.029,51.34661,-54.85545,121
137,6.7,241,78,0,103,14,126,176,32359,447.3308,60381.271727751,62.493,51.34661,-54.85545,121
138,6.5,241,77,1,104,14,126,171,32360,447.3446,60381.271727911,62.493,51.34653,-54.85974,121
139,6.0,200,26,3,97,40,126,158,32353,447.2479,60381.271726791,178.55,51.64971,-55.08059,122
140,6.0,150,214,3,189,100,127,159,32701,452.0586,60381.271782471,446.375,52.0272,-54.27442,123
